total=17301
1,99
2,99
3,88
4,88
5,65
6,98
7,99
8,52
9,98
10,99
11,99
12,98
13,75
14,77
15,98
16,65
17,87
18,65
19,66
20,86
21,77
22,66
23,99
24,55
25,55
26,77
27,98
28,77
29,88
30,75
31,99
32,88
33,87
34,89
35,74
36,97
37,99
38,98
39,99
40,77
41,88
42,66
43,99
44,99
45,99
46,75
47,87
48,77
49,99
50,99
51,99
52,89
53,66
54,76
55,99
56,99
57,87
58,98
59,87
60,65
61,99
62,55
63,87
64,88
65,88
66,98
67,98
68,65
69,88
70,99
71,88
72,87
73,76
74,85
75,88
76,97
77,99
78,99
79,99
80,86
81,66
82,97
83,88
84,97
85,86
86,98
87,87
88,99
89,88
90,75
91,99
92,87
93,99
94,98
95,85
96,99
97,99
98,53
99,77
100,54
101,54
102,99
103,99
104,77
105,98
106,97
107,99
108,88
109,99
110,99
111,99
112,98
113,99
114,95
115,98
116,55
117,75
118,89
119,87
120,99
121,86
122,99
123,98
124,87
125,96
126,97
127,76
128,66
129,98
130,97
131,88
132,99
133,65
134,84
135,44
136,63
137,88
138,66
139,66
140,88
141,55
142,89
143,77
144,87
145,96
146,76
147,99
148,76
149,77
150,96
151,77
152,88
153,88
154,89
155,99
156,99
157,87
158,87
159,75
160,93
161,98
162,87
163,85
164,97
165,66
166,75
167,74
168,85
169,77
170,98
171,65
172,86
173,99
174,99
175,99
176,99
177,95
178,66
179,75
180,88
181,85
182,98
183,97
184,76
185,99
186,99
187,86
188,75
189,88
190,97
191,77
192,88
193,96
194,98
195,98
196,76
197,66
198,99
199,99
200,99
