total=18737
1,748
2,99
3,99
4,88
5,88
6,65
7,98
8,99
9,85
10,99
11,99
12,99
13,98
14,75
15,77
16,98
17,66
18,87
19,86
20,96
21,86
22,77
23,66
24,99
25,55
26,55
27,77
28,98
29,87
30,98
31,75
32,99
33,88
34,87
35,89
36,74
37,97
38,99
39,98
40,99
41,77
42,88
43,66
44,99
45,99
46,99
47,75
48,87
49,87
50,99
51,99
52,99
53,89
54,66
55,76
56,99
57,99
58,87
59,98
60,98
61,66
62,99
63,65
64,87
65,88
66,88
67,98
68,98
69,86
70,98
71,99
72,88
73,87
74,77
75,85
76,88
77,97
78,99
79,99
80,99
81,88
82,86
83,97
84,88
85,97
86,88
87,98
88,88
89,99
90,98
91,97
92,99
93,98
94,99
95,99
96,98
97,99
98,99
99,98
100,99
101,54
102,54
103,99
104,99
105,77
106,98
107,97
108,99
109,88
110,99
111,99
112,99
113,98
114,99
115,95
116,98
117,65
118,77
119,89
120,98
121,99
122,86
123,99
124,98
125,87
126,96
127,97
128,77
129,86
130,99
131,97
132,88
133,99
134,65
135,84
136,54
137,66
138,88
139,86
140,96
141,88
142,55
143,89
144,77
145,87
146,96
147,76
148,99
149,87
150,97
151,96
152,77
153,88
154,88
155,89
156,99
157,99
158,87
159,88
160,97
161,93
162,98
163,87
164,85
165,97
166,66
167,75
168,77
169,88
170,97
171,98
172,76
173,86
174,99
175,99
176,99
177,99
178,95
179,86
180,97
181,88
182,88
183,98
184,97
185,87
186,99
187,99
188,88
189,88
190,98
191,99
192,97
193,98
194,99
195,99
196,99
197,97
198,97
199,99
200,99
201,99
